"West Coast Avengers","West Coast Avengers"
"The X-Men and The Micronauts","The X-Men and The Micronauts"
"2010","2010"
"Balder the Brave","Balder the Brave"
"Conan the Destroyer","Conan the Destroyer"
"Dune","Dune"
"Eternals","Eternals"
"Gargoyle","Gargoyle"
"The Life Of Captain Marvel","The Life Of Captain Marvel"
"Longshot","Longshot"
"The Marvel Saga The Official History of the Marvel Universe","The Marvel Saga The Official History of the Marvel Universe"
"Moon Knight: Fist of Khonshu","Moon Knight: Fist of Khonshu"
"Rawhide Kid","Rawhide Kid"
"Rocket Raccoon","Rocket Raccoon"
"Savage Tales","Savage Tales"
"Secret Wars II","Secret Wars II"
"Sectaurs","Sectaurs"
"The Sword of Solomon Kane","The Sword of Solomon Kane"
"Squadron Supreme","Squadron Supreme"
"The Vision and the Scarlet Witch","The Vision and the Scarlet Witch"
"Web of Spider-Man","Web of Spider-Man"
"Web of Spider-Man Annual","Web of Spider-Man Annual"
"X-Men/Alpha Flight","X-Men/Alpha Flight"
"Alpha Flight Annual","Alpha Flight Annual"
"Classic X-Men","Classic X-Men"
"D.P.7","D.P.7"
"Firestar","Firestar"
"G.I. Joe and the Transformers","G.I. Joe and the Transformers"
"The G.I. Joe Order of Battle","The G.I. Joe Order of Battle"
"Howard the Duck: The Movie","Howard the Duck: The Movie"
"Justice","Justice"
"Kickers, Inc.","Kickers, Inc."
"Labyrinth","Labyrinth"
"Mark Hazzard: Merc","Mark Hazzard: Merc"
"Nightmask","Nightmask"
"The Punisher","The Punisher"
"Spitfire and the Troubleshooters","Spitfire and the Troubleshooters"
"Star Brand","Star Brand"
"Strikeforce: Morituri","Strikeforce: Morituri"
"Transformers: The Movie","Transformers: The Movie"
"West Coast Avengers Annual","West Coast Avengers Annual"
"X-Factor","X-Factor"
"X-Factor Annual","X-Factor Annual"
"Codename: Spitfire","Codename: Spitfire"
"Comet Man","Comet Man"
"Conan Saga","Conan Saga"
"Fallen Angels","Fallen Angels"
"Fantastic Four vs. X-Men","Fantastic Four vs. X-Men"
"Marvel Masterworks","Marvel Masterworks"
"Mephisto Vs. ...","Mephisto Vs. ..."
"Silver Surfer","Silver Surfer"
"Solo Avengers","Solo Avengers"
"Spider-Man Comics Magazine","Spider-Man Comics Magazine"
"The Transformers: Headmasters","The Transformers: Headmasters"
"The X-Men vs. The Avengers","The X-Men vs. The Avengers"
"ALF","ALF"
"ALF* Annual","ALF* Annual"
"ALF Holiday Special","ALF Holiday Special"
"Captain Justice","Captain Justice"
"Count Duckula","Count Duckula"
"Doctor Strange, Sorcerer Supreme","Doctor Strange, Sorcerer Supreme"
"Excalibur","Excalibur"
"Marvel Comics Presents","Marvel Comics Presents"
"The Mutant Misadventures of Cloak and Dagger","The Mutant Misadventures of Cloak and Dagger"
"Nick Fury vs. S.H.I.E.L.D.","Nick Fury vs. S.H.I.E.L.D."
"The Punisher Annual","The Punisher Annual"
"The Punisher War Journal","The Punisher War Journal"
"Saga of the Sub-Mariner","Saga of the Sub-Mariner"
"Semper Fi","Semper Fi"
"Silver Surfer Annual","Silver Surfer Annual"
"Sledge Hammer","Sledge Hammer"
"Speedball","Speedball"
"Spellbound","Spellbound"
"Tales Of G.I. Joe","Tales Of G.I. Joe"
"What The--?!","What The--?!"
"Willow","Willow"
"Wolfpack","Wolfpack"
"X-Terminators","X-Terminators"
"Avengers Spotlight","Avengers Spotlight"
"Avengers West Coast Annual","Avengers West Coast Annual"
"Destroyer","Destroyer"
